iteration|from_id|to_id|action_name|action_author_dom|action_author_val|action_target_dom|action_target_val|author_dom|author_val|target_dom|target_val
1|0|2|act6|0.0753637071173217|-7.970817303621139|-4.048347775057607|-0.018969905809502117|0|-20|-10|0
1|1|0|act2|0.057500516750281463|8.058973737339667|4.019052648557491|0.027449563634505018|0|20|10|0
1|2|4|act1|5.618051084881914|5.622630045158946|-2.7467008370665917|2.7732494893452992|14|14|-7|7
1|2|0|act2|-3.6435129975518463|7.982927084771448|4.06782733640559|-7.173735573259026|0|20|10|0
1|2|3|act6|-0.004387511536962832|-8.08553608028444|-3.9445897586965537|0.05499062967141258|0|-20|-10|0
1|2|5|act1|5.600927887601356|5.611883482365826|-2.7203639535071193|2.865761908366316|14|14|-7|7
1|3|1|act2|0.026962404718820533|7.942526097498993|3.9702351859254463|-0.03888852366378962|0|20|10|0
1|4|1|act2|-0.03469944403394448|8.009824327799889|3.953734409927239|-0.05512258503697234|0|20|10|0
1|4|0|act2|0.08407325283126647|7.929566041912158|4.011332215858962|-0.0621690195986536|0|20|10|0
1|5|3|act6|-0.01888168698944716|-7.967819838760982|-3.9505272820814987|0.02730774427661026|0|-20|-10|0
2|1|3|act6|3.573211667332902|-8.034999671297411|-3.9757338357530614|7.148273487749094|0|-20|-10|0
2|1|4|act1|9.158360968934517|5.550389673466725|-2.8312294996305503|10.0088418950199|14|14|-7|7
2|1|0|act2|0.05175046507525332|15.2530763636057|7.617147383701742|0.024704607271054516|0|20|10|0
2|2|0|act2|-3.2791616977966616|15.184634376294303|7.661044602765031|-6.456362015933124|0|20|10|0
2|2|5|act1|10.640835098841222|10.650695134129244|-5.248327558156408|5.379185717529685|14|14|-7|7
2|2|3|act6|-0.003948760383266549|-15.276982472255996|-7.550130782826898|0.04949156670427132|0|-20|-10|0
2|2|1|act2|-0.045534899989490056|8.071881954811719|3.9847001903699244|-0.06324817590426769|0|20|10|0
2|2|4|act1|10.656245976393723|10.660367040643052|-5.2720307533599335|5.29592454041077|14|14|-7|7
2|3|0|act2|0.016603270360547328|7.961829609262895|3.9210933379348862|-0.014930596482909933|0|20|10|0
2|4|2|act6|-4.74482767802394|-3.233667913630307|5.590621378754351|9.594330336578748|0|-20|-10|0
2|4|3|act6|-0.07840458510433382|-7.913328403027082|-3.9450506050550698|0.04682968478585595|0|-20|-10|0
2|4|5|act1|5.624187743325759|5.578952805593612|-2.7881771212815756|2.826991552834209|14|14|-7|7
2|4|0|act2|0.07566592754813983|15.136609437720942|7.610198994273066|-0.05595211763878824|0|20|10|0
2|5|2|act6|-4.723494802340768|-3.158732854223283|5.5767515889571|9.58562562071632|0|-20|-10|0
3|0|3|act6|3.528984004141398|-8.01343753683462|-3.9850570566755072|7.1656466483366055|0|-20|-10|0
3|0|5|act1|5.627220595605066|5.5766849891615875|-2.8614737093636036|2.825053563622657|14|14|-7|7
